"","fy","fye","month","plan_name","plan_full_name","state","aal","avg_return","avg_opt_benchmark_return","avg_custom_benchmark_return","avg_opt_benchmark_excess","avg_custom_benchmark_excess"
"1",2020,2020-09-30,9,"Alabama ERS","Employees' Retirement System of Alabama","Alabama",19786472,0.0875085975433136,0.0884443627829867,0.0866159237039124,-0.000935765239673092,0.000892673839401281
"2",2020,2020-06-30,6,"Alaska PERS","State of Alaska Public Employees' Retirement System","Alaska",15279525,0.0865973329022951,0.0853266722824353,0.0907268360027977,0.00127066061985981,-0.00412950310050264
"3",2020,2020-06-30,6,"Arizona SRS","Arizona State Retirement System","Arizona",56710704,0.089359246990409,0.10052207286113,0.0907268360027977,-0.0111628258707215,-0.00136758901238876
"4",2020,2020-06-30,6,"Arkansas PERS","Arkansas Public Employees Retirement System","Arkansas",11513000,0.0912085652108054,0.119052353180792,0.0907268360027977,-0.0278437879699869,0.000481729208007708
"5",2020,2020-06-30,6,"California PERF","California Public Employees Retirement Fund","California",554678976,0.085392068354798,0.0928778083563628,0.0907268360027977,-0.00748574000156488,-0.00533476764799978
"6",2020,2020-12-31,12,"Colorado State","Colorado Public Employee Retirement Association-State Division","Colorado",27116806,0.094379034976757,0.0711036236446096,0.0908939551627685,0.0232754113321474,0.00348507981398849
"7",2020,2020-06-30,6,"Connecticut SERS","Connecticut State Employees Retirement System","Connecticut",36971136,0.0779756317758666,0.0754865195952756,0.0907268360027977,0.002489112180591,-0.0127512042269311
"8",2020,2020-06-30,6,"Florida RS","Florida Retirement System","Florida",200277168,0.0869400669902789,0.0893101730099466,0.0907268360027977,-0.00237010601966769,-0.00378676901251884
"9",2020,2020-06-30,6,"Hawaii ERS","Employees' Retirement System of the State of Hawaii","Hawaii",32691800,0.0666873728616375,0.108841421586246,0.0907268360027977,-0.0421540487246088,-0.0240394631411602
"10",2020,2020-06-30,6,"Idaho PERS","Public Employee Retirement System of Idaho","Idaho",19828500,0.0845210230246101,0.0625674999888177,0.0907268360027977,0.0219535230357923,-0.00620581297818767
"11",2020,2020-06-30,6,"Illinois SERS","State Employees' Retirement System of Illinois","Illinois",50145832,0.0870501097003511,0.0960780517773443,0.0907268360027977,-0.0090279420769932,-0.00367672630244664
"12",2020,2020-06-30,6,"Illinois Universities","State Universities Retirement System of Illinois","Illinois",47580472,0.0845793079900623,0.0992350087480407,0.0907268360027977,-0.0146557007579784,-0.00614752801273544
"13",2020,2020-06-30,6,"Indiana PERF","State of Indiana Public Employees' Retirement Fund","Indiana",16281754,0.0671765446148584,0.0717669639102583,0.0907268360027977,-0.00459041929539983,-0.0235502913879393
"14",2020,2020-06-30,6,"Indiana Teachers","Indiana State Teachers' Retirement Fund","Indiana",20371954,0.0654732575535744,0.0670946812170439,0.0907268360027977,-0.00162142366346951,-0.0252535784492234
"15",2020,2020-06-30,6,"Iowa PERS","Iowa Public Employees' Retirement System","Iowa",41072428,0.0857761149091976,0.0803433536190785,0.0907268360027977,0.00543276129011905,-0.00495072109360017
"16",2020,2020-06-30,6,"Kansas PERS","Kansas Public Employees Retirement System","Kansas",29982336,0.0882333336240764,0.102666695767545,0.0907268360027977,-0.0144333621434687,-0.00249350237872137
"17",2020,2020-06-30,6,"Kentucky County","County Employees Retirement System of Kentucky","Kentucky",20042168,0.0739747573079561,0.0765106404001821,0.0907268360027977,-0.00253588309222597,-0.0167520786948416
"18",2020,2020-06-30,6,"Kentucky ERS","Kentucky Employees Retirement System","Kentucky",17632730,0.0739747573079561,0.0765106404001821,0.0907268360027977,-0.00253588309222597,-0.0167520786948416
"19",2020,2020-06-30,6,"Kentucky Teachers","Teachers' Retirement System of the State of Kentucky","Kentucky",35582248,0.0959886230317242,0.0949450376779974,0.0907268360027977,0.00104358535372673,0.00526178702892643
"20",2020,2020-06-30,6,"Louisiana SERS","Louisiana State Employees' Retirement System","Louisiana",19691378,0.0773238392676996,0.104413581038605,0.0907268360027977,-0.0270897417709053,-0.0134029967350981
"21",2020,2020-06-30,6,"Louisiana Teachers","Louisiana State Teachers Retirement System","Louisiana",32341038,0.0986959684181701,0.0903774186940318,0.0907268360027977,0.00831854972413826,0.00796913241537234
"22",2020,2020-06-30,6,"Maine State and Teacher","Maine Public Employees Retirement System - State and Teacher Retirement Program","Maine",14865460,0.0830382626564625,0.0852738023626332,0.0907268360027977,-0.00223553970617063,-0.00768857334633521
"23",2020,2020-06-30,6,"Maryland Teachers","Maryland State Retirement and Pension System - Teachers Combined System","Maryland",44456528,0.0757021513516123,0.0884681065880044,0.0907268360027977,-0.0127659552363921,-0.0150246846511854
