"plan_name","fy","fye","month","plan_full_name","state","aal","mva","arr","return","acwi_ex_us_tr","ru30_tr","bb_us_agg_tr","opt_benchmark_return","conservative_benchmark_return","moderate_benchmark_return","aggressive_benchmark_return","standard_pension_benchmark_return","cum_return","cum_opt_benchmark_return","cum_conservative_benchmark_return","cum_moderate_benchmark_return","cum_aggressive_benchmark_return","cum_standard_pension_benchmark_return","cum_opt_benchmark_excess","cum_conservative_benchmark_excess","cum_moderate_benchmark_excess","cum_aggressive_benchmark_excess","cum_standard_pension_benchmark_excess"
"North Carolina Teachers and State Employees",2010,2010-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",58178272,48773836,0.0725,0.12,0.108725849223387,0.157214718410857,0.0949829254795038,0.118255108705271,0.10958149886156,0.116206332031939,0.123706561312641,0.120236084431227,1.08001525632,1.11060192395356,1.10259213374061,1.05605211715955,0.993063112433011,1.09058826664234,-0.0305866676335562,-0.022576877420607,0.0239631391604493,0.0869521438869888,-0.010573010322344
"North Carolina Teachers and State Employees",2011,2011-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",59876064,55760360,0.0725,0.1848,0.302676537585421,0.323664116489338,0.039014348404911,0.18733889344585,0.198157374583175,0.227053914212029,0.266380192271251,0.2007073195864,1.27960207568794,1.31866085944585,1.32107889619871,1.29583288397253,1.2575954552604,1.30947731441251,-0.0390587837579113,-0.0414768205107703,-0.0162308082845912,0.0220066204275322,-0.0298752387245709
"North Carolina Teachers and State Employees",2012,2012-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",61846696,55153572,0.0725,0.0221,-0.141464480874317,0.0383960737513172,0.0747369170354375,0.0177319871066577,-0.0295490581598376,-0.0319604594491543,-0.041544691374572,0.0121095961503313,1.30788128156064,1.3420433368036,1.2820422590612,1.25441746963144,1.20534904019755,1.32533455585806,-0.0341620552429558,0.0258390224994427,0.0534638119291968,0.102532241363094,-0.0174532742974232
"North Carolina Teachers and State Employees",2013,2013-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",63630280,58491720,0.0725,0.095,0.141376852181883,0.214636575289004,-0.00687725263140471,0.0966764654407185,0.090780974696122,0.113666689377833,0.142847132209012,0.105858600387396,1.4321300033089,1.47178734307403,1.39842730494039,1.39700295050217,1.37752969390065,1.46563261698625,-0.0396573397651345,0.0337026983685098,0.0351270528067329,0.0546003094082492,-0.0335026136773489
"North Carolina Teachers and State Employees",2014,2014-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",65805556,65615776,0.0725,0.159,0.22268073431331,0.252202623648289,0.0437334311486071,0.149410785701134,0.153775593206828,0.175037634874641,0.203485274591222,0.158897874213876,1.65983867383502,1.69168824638771,1.61347129331422,1.64153104287096,1.65783670192159,1.69851852420388,-0.0318495725526962,0.0463673805207907,0.0183076309640535,0.00200197191342855,-0.0386798503688686
"North Carolina Teachers and State Employees",2015,2015-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",67715064,65007032,0.0725,0.023,-0.0484547743277264,0.0729418468431802,0.0185782747603835,0.0224246799704094,-0.00502657273313507,0.00131392439542373,0.0058899089577426,0.0224597415595111,1.69801496333322,1.72962381392266,1.60536106250556,1.64368789055404,1.66760120916271,1.73666681129155,-0.0316088505894383,0.0926539008276652,0.0543270727791854,0.0304137541705112,-0.0386518479583249
"North Carolina Teachers and State Employees",2016,2016-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",71521912,63268828,0.0725,0.008,-0.0980482380459374,0.0213833449060139,0.0600139056610678,0.0143830505319218,-0.0178325450245768,-0.0208982105801736,-0.0292922786596799,0.00994576354041245,1.71159908303989,1.75450108063952,1.57673338907772,1.60933775488916,1.6187533698507,1.75393928874513,-0.0429019975996372,0.134865693962164,0.102261328150731,0.0928457131891902,-0.0423402057052469
"North Carolina Teachers and State Employees",2017,2017-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",74547856,67705456,0.072,0.1077,0.210016155088853,0.185094577879402,-0.00314643757181821,0.103033563596789,0.119944410107103,0.13878230162721,0.165759083220617,0.112706519225319,1.89593830428328,1.93527357931223,1.76585374532682,1.83268535260824,1.88707644439743,1.95161968091213,-0.0393352750289491,0.130084558956459,0.0632529516750429,0.00886185988585031,-0.0556813766288475
"North Carolina Teachers and State Employees",2018,2018-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",79209344,70426696,0.07,0.0732,0.0778757641767973,0.147781110037703,-0.00397267118848665,0.06285754843206,0.0538608619826271,0.0696773313074986,0.0891752270326425,0.0687250612808259,2.03472098815682,2.05692013205314,1.86096415018538,1.96038197710432,2.05535691475452,2.08574486307968,-0.0221991438963172,0.173756837971442,0.0743390110524953,-0.0206359265977061,-0.0510238749228633
"North Carolina Teachers and State Employees",2019,2019-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",82105944,72959448,0.07,0.0658,0.017993057026908,0.0898250154328315,0.078692481920051,0.0696840887654425,0.052251373426405,0.0538785830200373,0.0536413387516785,0.0686836635916652,2.16860562917754,2.20025473711855,1.95820208292986,2.06600458020872,2.16560901127448,2.22900146159349,-0.0316491079410151,0.210403546247672,0.102601048968814,0.00299661790306027,-0.0603958324159533
"North Carolina Teachers and State Employees",2020,2020-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",84873312,74082448,0.07,0.0435,-0.04389939322137,0.0652956074180986,0.0873965676816888,0.0527679107290129,0.0240609979512242,0.0225931659690779,0.0167691565161886,0.0493526557804107,2.26293997404676,2.31635758266791,2.00531837923532,2.11268216458225,2.20192444773741,2.33900860346155,-0.0534176086211513,0.257621594811437,0.150257809464506,0.0610155263093533,-0.0760686294147859
"North Carolina Teachers and State Employees",2021,2021-06-30,6,"Teachers' and State Employees' Retirement System of North Carolina","North Carolina",89809072,86391032,0.065,0.1913,0.362866089519248,0.441644307380201,-0.00333261345495062,0.218947880202081,0.224300720384256,0.269794836913633,0.33012215038403,0.238859895125594,2.69584039108191,2.82351916518307,2.45511273629759,2.68267290462606,2.92882848140765,2.89770395318223,-0.127678774101163,0.24072765478431,0.0131674864558411,-0.232988090325743,-0.201863562100327
"North Dakota PERS",2006,NA,NA,"North Dakota Public Employees Retirement System","North Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0
"North Dakota PERS",2007,2007-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",1610200,1878924.9,0.08,0.1896,0.301480232340266,0.200684890872296,0.0612068895379583,0.18765291551421,0.190283201404487,0.203664912148979,0.225711715872486,0.165984448856179,1.1896,1.18765291551421,1.19028320140449,1.20366491214898,1.22571171587249,1.16598444885618,0.00194708448578962,-0.000683201404486855,-0.0140649121489793,-0.036111715872486,0.0236155511438207
"North Dakota PERS",2008,2008-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",1737600,1761223,0.08,-0.056,-0.0620295339558226,-0.126861472158553,0.0712390941012313,-0.0592767822126916,-0.0164118501175647,-0.036873830877222,-0.0629871116985235,-0.0297383913741144,1.1229824,1.11725267229701,1.17074845190558,1.15928117574555,1.14850767511464,1.13130994697996,0.00572972770299374,-0.0477660519055814,-0.0362987757455515,-0.0255252751146369,-0.0083275469799633
"North Dakota PERS",2009,2009-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",1901200,1320003.3,0.08,-0.2442,-0.30544226636846,-0.265640719315895,0.0604611883257231,-0.188958867495043,-0.151225954549937,-0.183883636392372,-0.230532942138513,-0.139462783466714,0.84875009792,0.906137872633954,0.993700899728299,0.946108337548235,0.883738821701796,0.973534312810557,-0.0573877747139538,-0.144950801808299,-0.097358239628235,-0.0349887237817964,-0.124784214890557
"North Dakota PERS",2010,2010-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",2208400,1474185,0.08,0.1367,0.108725849223387,0.157214718410857,0.0949829254795038,0.12934804813404,0.10958149886156,0.116206332031939,0.123706561312641,0.120236084431227,0.964774236305664,1.02334503779949,1.10259213374061,1.05605211715955,0.993063112433011,1.09058826664234,-0.0585708014938237,-0.137817897434943,-0.0912778808538867,-0.0282888761273472,-0.12581403033668
"North Dakota PERS",2011,2011-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",2339800,1758056.6,0.08,0.2143,0.302676537585421,0.323664116489338,0.039014348404911,0.243580222693626,0.198157374583175,0.227053914212029,0.266380192271251,0.2007073195864,1.17152535514597,1.2726116499991,1.32107889619871,1.29583288397253,1.2575954552604,1.30947731441251,-0.101086294853136,-0.149553541052739,-0.12430752882656,-0.0860701001144362,-0.137951959266539
"North Dakota PERS",2012,2012-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",2501300,1734039.9,0.08,6e-04,-0.141464480874317,0.0383960737513172,0.0747369170354375,0.00555015468881707,-0.0295490581598376,-0.0319604594491543,-0.041544691374572,0.0121095961503313,1.17222827035906,1.27967484151539,1.2820422590612,1.25441746963144,1.20534904019755,1.32533455585806,-0.107446571156334,-0.109813988702142,-0.0821891992723875,-0.0331207698384908,-0.153106285499008
"North Dakota PERS",2013,2013-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",2716500,1957670,0.08,0.135,0.141376852181883,0.214636575289004,-0.00687725263140471,0.138883544039537,0.090780974696122,0.113666689377833,0.142847132209012,0.105858600387396,1.33047908685753,1.45740061872328,1.39842730494039,1.39700295050217,1.37752969390065,1.46563261698625,-0.126921531865751,-0.0679482180828626,-0.0665238636446395,-0.0470506070431231,-0.135153530128721
"North Dakota PERS",2014,2014-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",2938752.3,2281582.8,0.08,0.1638,0.22268073431331,0.252202623648289,0.0437334311486071,0.190212554253565,0.153775593206828,0.175037634874641,0.203485274591222,0.158897874213876,1.54841156128479,1.73461651298136,1.61347129331422,1.64153104287096,1.65783670192159,1.69851852420388,-0.18620495169657,-0.0650597320294339,-0.0931194815861711,-0.109425140636796,-0.150106962919093
"North Dakota PERS",2015,2015-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",3052446.5,2371710.8,0.08,0.0353,-0.0484547743277264,0.0729418468431802,0.0185782747603835,0.0299494487114844,-0.00502657273313507,0.00131392439542373,0.0058899089577426,0.0224597415595111,1.60307048939814,1.78656732127099,1.60536106250556,1.64368789055404,1.66760120916271,1.73666681129155,-0.183496831872846,-0.00229057310741165,-0.0406174011558915,-0.0645307197645657,-0.133596321893402
"North Dakota PERS",2016,2016-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",3396565.5,2414895.8,0.08,0.0028,-0.0980482380459374,0.0213833449060139,0.0600139056610678,0.0033999364146934,-0.0178325450245768,-0.0208982105801736,-0.0292922786596799,0.00994576354041245,1.60755908676846,1.79264153656388,1.57673338907772,1.60933775488916,1.6187533698507,1.75393928874513,-0.185082449795422,0.030825697690736,-0.00177866812069705,-0.0111942830822378,-0.146380201976675
"North Dakota PERS",2017,2017-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",3726815,2727835.5,0.0775,0.1305,0.210016155088853,0.185094577879402,-0.00314643757181821,0.141289513146329,0.119944410107103,0.13878230162721,0.165759083220617,0.112706519225319,1.81734554759174,2.04592298651088,1.76585374532682,1.83268535260824,1.88707644439743,1.95161968091213,-0.228577438919136,0.0514918022649193,-0.0153398050164968,-0.0697308968056893,-0.134274133320387
"North Dakota PERS",2018,2018-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",3959095,2970180.3,0.0775,0.0919,0.0778757641767973,0.147781110037703,-0.00397267118848665,0.0912323594661348,0.0538608619826271,0.0696773313074986,0.0891752270326425,0.0687250612808259,1.98435960341542,2.23257736785627,1.86096415018538,1.96038197710432,2.05535691475452,2.08574486307968,-0.248217764440843,0.123395453230047,0.0239776263111005,-0.0709973113391009,-0.101385259664258
"North Dakota PERS",2019,2019-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",4269340,3096731,0.0775,0.056,0.017993057026908,0.0898250154328315,0.078692481920051,0.0699379648695387,0.052251373426405,0.0538785830200373,0.0536413387516785,0.0686836635916652,2.09548374120669,2.38871928537793,1.95820208292986,2.06600458020872,2.16560901127448,2.22900146159349,-0.293235544171238,0.137281658276823,0.0294791609979645,-0.070125270067789,-0.133517720386803
"North Dakota PERS",2020,2020-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",4717407.5,3154351.3,0.07,0.0341,-0.04389939322137,0.0652956074180986,0.0873965676816888,0.0453646033140791,0.0240609979512242,0.0225931659690779,0.0167691565161886,0.0493526557804107,2.16693973678184,2.49708258818779,2.00531837923532,2.11268216458225,2.20192444773741,2.33900860346155,-0.33014285140595,0.161621357546512,0.0542575721995813,-0.0349847109555714,-0.172068866679711
"North Dakota PERS",2021,2021-06-30,6,"North Dakota Public Employees Retirement System","North Dakota",4991543,3949722.8,0.07,0.2715,0.362866089519248,0.441644307380201,-0.00333261345495062,0.305607216128346,0.224300720384256,0.269794836913633,0.33012215038403,0.238859895125594,2.7552638753181,3.26020904640642,2.45511273629759,2.68267290462606,2.92882848140765,2.89770395318223,-0.504945171088316,0.300151139020509,0.07259097069204,-0.173564606089544,-0.142440077864128
"North Dakota Teachers",2006,NA,NA,"North Dakota Teachers' Fund for Retirement","North Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0
"North Dakota Teachers",2007,2007-06-30,6,"North Dakota Teachers' Fund for Retirement","North Dakota",2209300,2029777.4,0.08,0.2004,0.301480232340266,0.200684890872296,0.0612068895379583,0.1950773126407,0.190283201404487,0.203664912148979,0.225711715872486,0.165984448856179,1.2004,1.1950773126407,1.19028320140449,1.20366491214898,1.22571171587249,1.16598444885618,0.00532268735929997,0.0101167985955131,-0.00326491214897939,-0.025311715872486,0.0344155511438207
